,cpu_rank,cpu_name
551,552,AMD Turion II M500
552,553,Intel Pentium P6000
553,554,AMD Turion II P520
554,555,AMD Turion X2 QL-64
555,556,Intel Core 2 Duo T7200
556,557,Intel Pentium Dual Core T4500
557,558,Intel Core 2 Duo T5800
558,559,Intel Core 2 Duo T7400
559,560,Intel Core 2 Duo P7370
560,561,Intel Core Duo T3200
561,562,Intel Core Duo T2390
562,563,Intel Core 2 Duo T5850
563,564,Intel Core Duo T2500
564,565,AMD Athlon II P320
565,566,AMD Turion X2 Ultra ZM-84
566,567,Intel Core 2 Duo T7300
567,568,Intel Core 2 Duo T5870
568,569,AMD A6-4455M
569,570,Intel Celeron B830
570,571,Intel Core 2 Duo SL9300
571,572,Intel Celeron B815
572,573,Intel Core i5-470UM
573,574,Intel Core Duo T2600
574,575,Intel Celeron Dual-Core T3000
575,576,Intel Pentium P6000
576,577,AMD Turion X2 RM-75
577,578,Intel Core Duo T2350
578,579,Intel Core 2 Duo T6400
579,580,Intel Core Duo T2450
580,581,Intel Pentium B967
581,582,AMD Turion X2 RM-74
582,583,Intel Celeron 1017U
583,584,Intel? Celeron? Processor 2955U
584,585,Intel Celeron B820
585,586,Intel Core i5-520UM
586,587,Intel Core 2 Duo SP7500
587,588,Intel Core 2 Duo T5600
588,589,Intel Core i3-2357M
589,590,AMD Athlon II M300
590,591,Intel Core Solo T1300
591,592,Intel Core Duo T2410
592,593,AMD Athlon X2 M320
593,594,AMD Turion X2 Ultra ZM-82
594,595,AMD Turion X2 RM-72
595,596,AMD Turion 64 X2 TL-64
596,597,AMD Turion X2 Ultra ZM-80
597,598,Intel Core 2 Duo SL9300
598,599,Intel Core 2 Duo T5670
599,600,Intel Core 2 Duo T7100
600,601,Intel Celeron B800
601,602,Intel Core i5-430UM
602,603,AMD Turion 64 X2 T-52
603,604,MediaTek Helio P22T
604,605,Intel Celeron 847
605,606,AMD A4-1200
606,607,Quad-Core
607,608,AMD 3020e
608,609,Intel Core Duo L2300
609,610,Intel Core i3-380UM
610,611,AMD Turion 64 X2 TL-58
611,612,Intel Celeron N3060
612,613,AMD A6-1450
613,614,Intel Core 2 Duo SU9400
614,615,Intel Core 2 Duo T5250
615,616,Intel Core i3-4012Y
616,617,AMD Turion 64 X2 TL-60
617,618,Intel Pentium U5600
618,619,Intel Core Duo T2370
619,620,AMD Turion 64 X2 TL-60
620,621,AMD Turion 64 X2 TL-60
621,622,Intel Core 2 Duo T5500
622,623,Intel Core 2 Duo T5450
623,624,Intel Core 2 Duo L7500
624,625,AMD E2-9000
625,626,Intel Core Duo T2080
626,627,Intel Core Duo T2300
627,628,Intel Core 2 Duo T5470
628,629,AMD Athlon X2 QL-60
629,630,Intel Core 2 Duo SL9600
630,631,Intel Core 2 Duo T5270
631,632,Intel Core 2 Duo T5200
632,633,Intel Celeron Dual-Core T1600
633,634,AMD Turion 64 X2 TL-56
634,635,AMD Turion 64 X2 TL-56
635,636,AMD Turion 64 X2 TK-55
636,637,Intel Core Duo T2050
637,638,Intel Core 2 Duo
638,639,AMD E2-7110
639,640,Intel Core Duo T2330
640,641,Intel Core 2 Duo T5300
641,642,Intel Celeron 4205U
642,643,Intel Core Duo T2310
643,644,Intel Celeron 1005M
644,645,AMD Turion X2 RM-70
645,646,Intel Core Duo L2400
646,647,AMD Turion 64 X2 TL-50
647,648,Intel Celeron N3050
648,649,AMD E2-6110
649,650,Intel Core 2 Duo SU9600
650,651,Intel Celeron Dual-Core T1400
651,652,Intel Core 2 Duo SU7300
652,653,AMD Athlon Neo X2 L335
653,654,AMD E1-6015
654,655,Intel Atom x5-Z8350
655,656,Intel Atom x5-Z8300
656,657,AMD Turion 64 X2 TL-66
657,658,Intel Celeron 1000M
658,659,Intel Core Duo T2250
659,660,AMD Athlon Neo X2 L335
660,661,Intel Celeron 3205U
661,662,Intel Celeron N3350
662,663,Intel Core Duo T2300E
663,664,Intel Core i7-620UM
664,665,Intel Atom D2700
665,666,Intel Pentium U5400
666,667,AMD Turion 64 X2 TK-57
667,668,AMD E2-2000
668,669,AMD Turion 64 X2 TK-53
669,670,AMD V-Series V140
670,671,Intel Celeron N2807
671,672,Intel Core 2 Duo U7700
672,673,AMD E-450
673,674,Intel Celeron 877
674,675,Intel Core Solo T1350
675,676,Intel Core 2 Duo SU9300
676,677,Intel Pentium Dual Core SU4100
677,678,Intel Celeron N2806
678,679,AMD Turion II Neo K625
679,680,AMD Turion Neo X2 L625
680,681,AMD E-350
681,682,Intel Core 2 Duo U7600
682,683,Intel Celeron Dual-Core SU2300
683,684,Intel Core 2 Duo SU2300
684,685,Intel Core 2 Duo L7100
685,686,Intel Celeron M U3400
686,687,AMD Mobile Sempron SI-42
687,688,AMD E2-9000e
688,689,Intel Atom D525
689,690,Intel Core Solo U1400
690,691,AMD E1-7010
691,692,Intel Core Duo U2500
692,693,Intel Celeron M 585
693,694,AMD V-Series V120
694,695,AMD Mobile Sempron SI-40
695,696,Intel Celeron M 575
696,697,Intel Core 2 Duo U7500
697,698,Intel Core 2 Duo U7500
698,699,AMD Mobile Sempron 3800+
699,700,Intel Celeron M 560
700,701,AMD Athlon Neo X2 L325
701,702,Intel Celeron 1007U
702,703,AMD E1-2500
703,704,Intel Celeron M 575
704,705,AMD E1-1500
705,706,AMD E1-6010
706,707,AMD V-Series V160
707,708,AMD Athlon Neo X2 L325
708,709,Intel Celeron N2805
709,710,AMD E1-1200
710,711,AMD E2-1800
711,712,AMD A4-1250
712,713,AMD C-60
713,714,Intel Atom N570
714,715,AMD Athlon X2 QL-64
715,716,AMD Mobile Sempron 3600+
716,717,Intel Pentium M 760
717,718,Intel Celeron M 550
718,719,Intel Core Solo U1300
719,720,Intel Core Duo T2060
720,721,AMD Turion 64 MT-40
721,722,AMD Mobile Sempron 3400+
722,723,Intel Celeron M 540
723,724,Intel Pentium M 745
724,725,Intel Pentium M 745
725,726,Intel Pentium M 750
