,gpu,cpu,panel_type,size,resolution,refresh_rate,touch_screen,memory_slot,hard_disk_drive,hdmi,displayport,d_sub_vga,thunderbolt,bluetooth,os_bundle,web_camera,optical_drive,fingerprint,body_material,weight,keyboard_backlit,numpad,other_detail,warranty,m2PCIe_slot,m2Combo_slot,m2SATA_slot,mem_size,mem_type,mem_onboard,ssd_size,usbtype_A,usbtype_C,prices
80,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,14.0,2073600,60,1,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,1,Plastic,1.65,no,no,no,2,1,0,0,4,DDR4,0,512,2,1,23990
81,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,1,0,Plastic,1.8,yes,yes,no,2,0,1,0,8,DDR4,0,512,1,0,16990
82,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.1,Windows 10,HD,0,0,Plastic,1.6,yes,no,no,2,1,0,0,8,DDR4,0,512,2,1,18990
83,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.1,Windows 10,HD,0,0,Plastic,1.6,yes,no,no,2,1,0,0,8,DDR4,0,512,2,1,18990
84,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,TN,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Plastic,1.5,no,no,no,2,0,0,1,8,DDR4,0,512,1,1,18990
85,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,TN,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Plastic,1.5,no,no,no,2,0,0,1,8,DDR4,0,512,1,1,18990
86,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,TN,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Plastic,1.5,no,no,no,2,0,1,0,8,DDR4,0,512,1,1,18990
87,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,13.3,2073600,120,1,1,no,0,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.3,yes,no,no,2,1,0,0,8,DDR4,0,512,2,1,33990
88,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,TN,15.6,2073600,60,0,1,yes,1,0,0,0,Bluetooth 4.2,Windows 10,HD,1,0,Plastic,2.2,no,yes,no,2,1,0,0,8,DDR4,0,0,2,1,18390
89,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 11,Below HD,0,0,Plastic,1.9,no,yes,no,2,0,1,0,4,DDR4,0,512,2,0,12990
90,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 4.2,Windows 11,Below HD,0,0,Plastic,1.9,no,yes,no,2,1,0,0,4,DDR4,1,512,1,0,12990
91,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,TN,15.6,1049088,60,0,2,yes,1,0,0,0,Bluetooth 5.0,Windows 11,HD,0,0,Aluminium,1.69,no,yes,yes,2,0,2,0,4,DDR4,0,0,1,0,14990
92,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,TN,15.6,1049088,60,0,2,yes,1,0,0,0,Bluetooth 5.0,Windows 11,HD,0,0,Aluminium,1.69,no,yes,yes,2,0,2,0,4,DDR4,0,0,1,0,14990
93,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Aluminium,1.74,no,no,yes,2,1,0,0,4,DDR4,0,256,2,1,13490
94,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,1,512,2,1,11900
95,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,TN,15.6,1049088,60,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,no,no,yes,2,1,0,0,4,DDR4,0,256,1,0,11990
96,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,TN,15.6,1049088,60,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,no,no,yes,2,1,0,0,4,DDR4,0,256,1,0,11690
97,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,Below HD,0,0,Plastic,1.85,no,yes,no,2,1,0,0,4,DDR4,1,512,1,0,11990
98,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,0,2,1,10900
99,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,0,512,2,1,9900
100,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Aluminium,1.8,yes,no,no,2,1,0,0,4,DDR4,1,0,2,1,9990
101,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,1.8,yes,no,no,2,1,0,0,4,DDR4,1,512,2,1,10990
102,AMD Radeon RX Vega 2,AMD Athlon Silver 3050U,TN,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 5.0,DOS Operating System,Below HD,0,0,Aluminium + Plastic,1.9,no,yes,no,3,1,0,0,4,DDR4,0,256,2,0,10900
